,location,size,total_sqft,bath,price,bhk
89,6th Phase JP Nagar,2 BHK,1280.0,2.0,88.0,2
90,7th Phase JP Nagar,2 BHK,1080.0,2.0,72.0,2
91,7th Phase JP Nagar,2 BHK,1270.0,2.0,93.0,2
92,7th Phase JP Nagar,3 BHK,1420.0,2.0,100.0,3
93,7th Phase JP Nagar,3 BHK,1850.0,3.0,150.0,3
94,7th Phase JP Nagar,2 BHK,1245.0,2.0,94.0,2
95,7th Phase JP Nagar,2 BHK,1175.0,2.0,82.0,2
96,7th Phase JP Nagar,3 BHK,1400.0,2.0,95.0,3
97,7th Phase JP Nagar,3 BHK,2225.0,3.0,160.0,3
98,7th Phase JP Nagar,2 BHK,1050.0,2.0,71.0,2
99,7th Phase JP Nagar,2 BHK,1100.0,2.0,46.0,2
100,7th Phase JP Nagar,2 BHK,918.0,2.0,50.49,2
101,7th Phase JP Nagar,3 BHK,1450.0,2.0,100.0,3
102,7th Phase JP Nagar,2 BHK,1190.0,2.0,49.98,2
103,7th Phase JP Nagar,3 BHK,1420.0,2.0,96.0,3
104,7th Phase JP Nagar,3 BHK,1680.0,3.0,120.0,3
105,7th Phase JP Nagar,2 BHK,980.0,2.0,69.0,2
106,7th Phase JP Nagar,2 BHK,1180.0,2.0,72.0,2
110,7th Phase JP Nagar,3 BHK,1400.0,3.0,115.0,3
111,7th Phase JP Nagar,2 BHK,1270.0,2.0,83.0,2
113,7th Phase JP Nagar,4 BHK,2503.0,4.0,188.0,4
114,7th Phase JP Nagar,3 BHK,2200.0,3.0,190.0,3
117,7th Phase JP Nagar,3 BHK,1575.0,2.0,110.0,3
118,7th Phase JP Nagar,3 BHK,1850.0,3.0,140.0,3
119,7th Phase JP Nagar,3 BHK,1575.0,2.0,120.0,3
120,7th Phase JP Nagar,3 BHK,1850.0,3.0,150.0,3
121,7th Phase JP Nagar,3 BHK,1680.0,3.0,120.0,3
122,7th Phase JP Nagar,2 BHK,1175.0,2.0,82.5,2
125,7th Phase JP Nagar,2 BHK,1215.0,2.0,90.0,2
126,7th Phase JP Nagar,2 BHK,1050.0,2.0,75.0,2
127,7th Phase JP Nagar,3 BHK,1300.0,3.0,89.13,3
128,7th Phase JP Nagar,2 BHK,1130.0,2.0,73.0,2
129,7th Phase JP Nagar,3 BHK,1450.0,3.0,100.0,3
131,7th Phase JP Nagar,2 BHK,1050.0,2.0,50.0,2
132,7th Phase JP Nagar,2 BHK,1275.0,2.0,87.0,2
134,7th Phase JP Nagar,3 BHK,1650.0,3.0,110.0,3
135,7th Phase JP Nagar,2 BHK,850.0,2.0,42.0,2
136,7th Phase JP Nagar,3 BHK,1680.0,3.0,117.0,3
137,7th Phase JP Nagar,3 BHK,1850.0,3.0,150.0,3
138,7th Phase JP Nagar,2 BHK,1236.0,2.0,61.33,2
139,7th Phase JP Nagar,2 BHK,1000.0,2.0,53.0,2
140,7th Phase JP Nagar,3 BHK,1680.0,3.0,125.0,3
141,7th Phase JP Nagar,3 BHK,1675.0,2.0,135.0,3
142,7th Phase JP Nagar,2 BHK,1187.0,2.0,59.0,2
143,7th Phase JP Nagar,3 BHK,1850.0,3.0,155.0,3
144,7th Phase JP Nagar,2 BHK,1000.0,2.0,61.0,2
145,7th Phase JP Nagar,3 BHK,1460.0,2.0,100.0,3
146,7th Phase JP Nagar,3 BHK,1650.0,3.0,110.0,3
147,7th Phase JP Nagar,2 BHK,1200.0,2.0,62.5,2
148,7th Phase JP Nagar,2 BHK,1000.0,2.0,70.65,2
149,7th Phase JP Nagar,2 BHK,1080.0,2.0,75.0,2
151,7th Phase JP Nagar,3 BHK,1680.0,3.0,125.0,3
152,7th Phase JP Nagar,3 BHK,1460.0,2.0,97.0,3
153,7th Phase JP Nagar,2 BHK,1120.0,2.0,65.0,2
154,7th Phase JP Nagar,2 BHK,1100.0,3.0,60.0,2
155,7th Phase JP Nagar,3 BHK,1790.0,3.0,120.0,3
156,7th Phase JP Nagar,3 BHK,1680.0,3.0,117.0,3
157,7th Phase JP Nagar,2 BHK,1050.0,2.0,77.0,2
158,7th Phase JP Nagar,2 BHK,1050.0,2.0,75.0,2
159,7th Phase JP Nagar,2 BHK,1040.0,2.0,75.0,2
160,7th Phase JP Nagar,3 BHK,1400.0,2.0,95.0,3
161,7th Phase JP Nagar,3 BHK,1800.0,3.0,130.0,3
162,7th Phase JP Nagar,2 BHK,1050.0,2.0,68.0,2
163,7th Phase JP Nagar,2 BHK,1000.0,2.0,60.0,2
164,7th Phase JP Nagar,3 BHK,1680.0,3.0,125.0,3
165,7th Phase JP Nagar,2 BHK,1050.0,2.0,77.47,2
166,7th Phase JP Nagar,2 BHK,1270.0,2.0,80.0,2
168,7th Phase JP Nagar,3 BHK,1680.0,3.0,122.0,3
169,7th Phase JP Nagar,2 BHK,1130.0,2.0,85.0,2
170,7th Phase JP Nagar,3 BHK,1680.0,3.0,130.0,3
171,7th Phase JP Nagar,2 BHK,980.0,2.0,77.44,2
172,7th Phase JP Nagar,3 BHK,1680.0,3.0,112.0,3
174,7th Phase JP Nagar,3 BHK,2095.0,3.0,150.0,3
175,7th Phase JP Nagar,3 BHK,1976.0,3.0,145.0,3
176,7th Phase JP Nagar,3 BHK,1600.0,2.0,110.0,3
177,7th Phase JP Nagar,3 BHK,1765.0,3.0,118.0,3
178,7th Phase JP Nagar,3 BHK,1275.0,2.0,88.0,3
179,7th Phase JP Nagar,3 BHK,1450.0,2.0,102.0,3
180,7th Phase JP Nagar,3 BHK,1575.0,2.0,110.0,3
182,7th Phase JP Nagar,1 BHK,750.0,1.0,47.0,1
183,7th Phase JP Nagar,2 BHK,990.0,2.0,50.0,2
184,7th Phase JP Nagar,1 Bedroom,1000.0,1.0,60.0,1
186,7th Phase JP Nagar,3 BHK,1430.0,2.0,102.0,3
187,7th Phase JP Nagar,2 BHK,1128.0,2.0,60.0,2
188,7th Phase JP Nagar,2 BHK,1140.0,2.0,57.0,2
189,7th Phase JP Nagar,3 BHK,1420.0,3.0,90.0,3
190,7th Phase JP Nagar,2 BHK,1530.0,2.0,108.0,2
191,8th Phase JP Nagar,2 BHK,1073.5,2.0,54.005,2
192,8th Phase JP Nagar,1 BHK,451.0,1.0,29.9,1
194,8th Phase JP Nagar,2 BHK,1062.0,2.0,42.47,2
196,8th Phase JP Nagar,3 BHK,1455.0,3.0,73.31,3
197,8th Phase JP Nagar,2 BHK,871.0,2.0,55.0,2
198,8th Phase JP Nagar,2 BHK,1098.0,2.0,43.91,2
199,8th Phase JP Nagar,3 BHK,1800.0,3.0,80.0,3
200,8th Phase JP Nagar,4 Bedroom,2700.0,4.0,130.0,4
201,8th Phase JP Nagar,2 BHK,1080.0,2.0,38.0,2
202,8th Phase JP Nagar,2 BHK,1059.0,2.0,34.5,2
203,8th Phase JP Nagar,2 BHK,1080.0,2.0,35.0,2
205,8th Phase JP Nagar,2 BHK,1062.0,2.0,42.47,2
206,8th Phase JP Nagar,1 BHK,500.0,1.0,31.0,1
207,8th Phase JP Nagar,2 BHK,1100.0,2.0,35.0,2
208,8th Phase JP Nagar,4 BHK,2100.0,4.0,92.0,4
209,8th Phase JP Nagar,2 BHK,1035.0,2.0,39.33,2
210,8th Phase JP Nagar,2 BHK,909.0,2.0,40.9,2
211,8th Phase JP Nagar,3 BHK,1431.5,3.0,72.02,3
212,8th Phase JP Nagar,3 Bedroom,1900.0,4.0,90.0,3
213,8th Phase JP Nagar,1 BHK,500.0,1.0,30.0,1
214,8th Phase JP Nagar,2 BHK,1125.0,2.0,36.94,2
215,8th Phase JP Nagar,2 BHK,1100.0,2.0,35.0,2
216,8th Phase JP Nagar,2 BHK,1089.0,2.0,43.55,2
218,8th Phase JP Nagar,3 BHK,1504.0,2.0,83.0,3
219,8th Phase JP Nagar,4 Bedroom,2600.0,4.0,115.0,4
221,8th Phase JP Nagar,2 BHK,1089.0,2.0,43.55,2
223,8th Phase JP Nagar,2 BHK,1513.0,2.0,62.0,2
224,8th Phase JP Nagar,2 BHK,1298.0,2.0,59.0,2
225,8th Phase JP Nagar,2 BHK,1006.0,2.0,44.0,2
226,8th Phase JP Nagar,1 BHK,500.0,1.0,33.0,1
227,8th Phase JP Nagar,2 BHK,1160.0,2.0,95.0,2
228,8th Phase JP Nagar,2 BHK,1245.0,2.0,59.0,2
229,8th Phase JP Nagar,2 BHK,1510.0,2.0,80.0,2
230,8th Phase JP Nagar,3 BHK,3300.0,3.0,165.0,3
231,8th Phase JP Nagar,5 Bedroom,1730.0,5.0,75.0,5
234,8th Phase JP Nagar,2 BHK,1046.0,2.0,48.0,2
236,8th Phase JP Nagar,3 BHK,1408.0,3.0,80.0,3
238,9th Phase JP Nagar,2 BHK,1005.0,2.0,50.0,2
240,9th Phase JP Nagar,2 BHK,1100.0,2.0,65.0,2
241,9th Phase JP Nagar,2 BHK,1080.0,2.0,37.0,2
242,9th Phase JP Nagar,2 BHK,1035.0,2.0,45.0,2
243,9th Phase JP Nagar,4 BHK,5000.0,4.0,290.0,4
244,9th Phase JP Nagar,2 BHK,1164.0,2.0,56.0,2
245,9th Phase JP Nagar,2 BHK,1005.0,2.0,42.0,2
246,9th Phase JP Nagar,2 BHK,1127.0,2.0,50.0,2
247,9th Phase JP Nagar,2 BHK,1005.0,2.0,43.0,2
248,9th Phase JP Nagar,2 BHK,835.0,2.0,37.0,2
249,9th Phase JP Nagar,2 BHK,1050.0,2.0,39.0,2
250,9th Phase JP Nagar,2 BHK,660.0,2.0,27.0,2
251,9th Phase JP Nagar,1 BHK,600.0,1.0,20.0,1
252,9th Phase JP Nagar,2 BHK,1466.0,2.0,71.0,2
253,9th Phase JP Nagar,3 BHK,1890.0,2.0,93.0,3
254,9th Phase JP Nagar,2 BHK,1079.0,2.0,60.0,2
255,9th Phase JP Nagar,2 BHK,1480.0,2.0,80.0,2
256,9th Phase JP Nagar,2 Bedroom,1200.0,2.0,80.0,2
257,9th Phase JP Nagar,2 BHK,905.0,2.0,32.0,2
258,9th Phase JP Nagar,2 BHK,1073.0,2.0,52.36,2
259,9th Phase JP Nagar,3 BHK,1719.3,2.0,88.0,3
260,9th Phase JP Nagar,3 BHK,1780.0,3.0,88.0,3
262,9th Phase JP Nagar,3 BHK,1522.0,3.0,90.0,3
265,9th Phase JP Nagar,2 BHK,890.0,2.0,45.0,2
267,9th Phase JP Nagar,4 BHK,5000.0,4.0,300.0,4
269,9th Phase JP Nagar,2 BHK,1050.0,2.0,35.0,2
270,9th Phase JP Nagar,2 BHK,1331.95,2.0,69.0,2
271,AECS Layout,2 BHK,1100.0,2.0,45.0,2
272,AECS Layout,2 BHK,1028.0,2.0,42.0,2
273,AECS Layout,2 BHK,1199.0,2.0,65.0,2
274,AECS Layout,2 BHK,1080.0,2.0,55.0,2
275,AECS Layout,2 BHK,1123.0,2.0,64.0,2
276,AECS Layout,2 BHK,1308.0,2.0,60.0,2
277,AECS Layout,2 BHK,1005.0,2.0,55.0,2
279,Abbigere,2 BHK,985.0,2.0,40.39,2
280,Abbigere,6 Bedroom,2200.0,6.0,68.0,6
281,Abbigere,1 BHK,765.0,2.0,30.0,1
282,Abbigere,2 BHK,880.0,2.0,35.0,2
283,Abbigere,2 BHK,795.0,2.0,32.54,2
284,Abbigere,2 BHK,1005.0,2.0,39.59,2
285,Abbigere,1 BHK,734.0,1.0,19.82,1
287,Abbigere,2 BHK,1020.0,2.0,41.82,2
288,Abbigere,2 BHK,985.0,2.0,40.39,2
289,Abbigere,6 Bedroom,2500.0,6.0,81.0,6
290,Abbigere,2 BHK,795.0,2.0,32.54,2
291,Abbigere,2 BHK,1130.0,2.0,46.33,2
292,Abbigere,2 BHK,795.0,1.0,32.6,2
293,Abbigere,8 Bedroom,3000.0,8.0,150.0,8
294,Abbigere,2 BHK,985.0,2.0,38.92,2
295,Abbigere,2 BHK,1000.0,2.0,41.0,2
296,Abbigere,2 BHK,995.0,2.0,40.8,2
297,Abbigere,2 BHK,1020.0,2.0,40.8,2
298,Akshaya Nagar,2 BHK,1388.0,2.0,57.0,2
299,Akshaya Nagar,2 BHK,1070.0,2.0,54.0,2
300,Akshaya Nagar,2 BHK,1280.0,2.0,58.0,2
301,Akshaya Nagar,3 BHK,1662.0,3.0,85.1,3
302,Akshaya Nagar,3 BHK,1897.0,3.0,120.0,3
303,Akshaya Nagar,3 BHK,1410.0,2.0,75.0,3
304,Akshaya Nagar,3 BHK,1360.0,2.0,85.0,3
306,Akshaya Nagar,3 BHK,1410.0,2.0,80.0,3
307,Akshaya Nagar,3 BHK,1662.0,3.0,85.0,3
308,Akshaya Nagar,3 BHK,1662.0,3.0,85.5,3
309,Akshaya Nagar,2 BHK,1280.0,2.0,60.0,2
310,Akshaya Nagar,3 BHK,1666.0,3.0,95.0,3
311,Akshaya Nagar,3 BHK,1575.0,3.0,90.0,3
312,Akshaya Nagar,3 BHK,1430.0,2.0,75.0,3
313,Akshaya Nagar,3 BHK,1419.0,2.0,73.0,3
314,Akshaya Nagar,2 BHK,1280.0,2.0,60.0,2
315,Akshaya Nagar,2 BHK,1200.0,2.0,50.0,2
316,Akshaya Nagar,2 BHK,1092.0,2.0,60.0,2
317,Akshaya Nagar,3 BHK,1690.0,3.0,85.0,3
319,Akshaya Nagar,3 BHK,1897.0,4.0,93.0,3
320,Akshaya Nagar,3 BHK,1884.0,3.0,98.0,3
321,Akshaya Nagar,2 BHK,1314.0,2.0,68.8,2
322,Akshaya Nagar,3 BHK,1690.0,3.0,85.0,3
323,Akshaya Nagar,2 BHK,1265.0,2.0,67.0,2
324,Akshaya Nagar,2 BHK,1126.0,2.0,55.0,2
326,Akshaya Nagar,3 BHK,1662.0,3.0,90.0,3
327,Akshaya Nagar,3 BHK,1420.0,2.0,75.0,3
328,Akshaya Nagar,3 BHK,1412.0,2.0,88.0,3
329,Akshaya Nagar,3 BHK,1434.0,3.0,84.0,3
330,Akshaya Nagar,3 BHK,1890.0,4.0,100.0,3
332,Akshaya Nagar,3 BHK,1419.0,2.0,87.0,3
333,Akshaya Nagar,2 BHK,1300.0,2.0,54.0,2
334,Akshaya Nagar,3 BHK,1690.0,3.0,85.0,3
335,Akshaya Nagar,2 BHK,1113.0,2.0,52.0,2
336,Akshaya Nagar,3 BHK,1820.0,4.0,95.0,3
337,Akshaya Nagar,2 BHK,1100.0,2.0,48.0,2
338,Akshaya Nagar,3 BHK,1896.0,3.0,102.0,3
339,Akshaya Nagar,2 BHK,1300.0,2.0,66.0,2
340,Akshaya Nagar,2 BHK,1225.0,2.0,68.0,2
341,Akshaya Nagar,2 BHK,1179.0,2.0,51.0,2
342,Akshaya Nagar,3 BHK,1421.0,2.0,73.0,3
343,Akshaya Nagar,3 BHK,1893.0,4.0,95.0,3
344,Akshaya Nagar,2 BHK,900.0,2.0,45.0,2
345,Ambalipura,2 BHK,1105.0,2.0,75.0,2
346,Ambalipura,3 BHK,1800.0,3.0,110.0,3
347,Ambalipura,2 BHK,1150.0,2.0,80.0,2
348,Ambalipura,2 BHK,1250.0,2.0,66.25,2
349,Ambalipura,2 BHK,1332.0,2.0,79.0,2
350,Ambalipura,3 BHK,1730.0,3.0,120.0,3
352,Ambalipura,2 BHK,1230.0,2.0,66.25,2
353,Ambalipura,2 BHK,1351.0,2.0,77.0,2
357,Ambalipura,2 BHK,1303.0,2.0,80.0,2
358,Ambalipura,3 BHK,1607.0,2.0,112.0,3
359,Ambalipura,1 BHK,770.0,1.0,43.82,1
360,Ambalipura,2 BHK,1700.0,2.0,76.0,2
361,Ambalipura,2 BHK,1060.0,2.0,58.5,2
362,Ambalipura,3 BHK,1650.0,3.0,100.0,3
363,Ambalipura,3 BHK,1607.0,2.0,112.0,3
364,Ambalipura,2 BHK,1198.0,2.0,80.0,2
365,Ambedkar Nagar,3 BHK,1935.0,4.0,130.0,3
366,Ambedkar Nagar,2 BHK,1424.0,2.0,90.0,2
367,Ambedkar Nagar,3 BHK,2225.0,4.0,169.0,3
368,Ambedkar Nagar,3 BHK,1862.0,3.0,120.0,3
369,Ambedkar Nagar,3 BHK,1850.0,4.0,139.0,3
370,Ambedkar Nagar,3 BHK,1936.0,4.0,126.0,3
371,Ambedkar Nagar,3 BHK,1862.0,3.0,119.0,3
372,Ambedkar Nagar,2 BHK,1424.0,2.0,90.0,2
373,Ambedkar Nagar,3 BHK,2150.0,4.0,125.0,3
374,Ambedkar Nagar,4 BHK,3530.0,4.0,290.0,4
375,Ambedkar Nagar,3 BHK,1856.0,3.0,120.0,3
376,Ambedkar Nagar,3 BHK,1852.0,3.0,130.0,3
377,Ambedkar Nagar,3 BHK,1850.0,4.0,120.0,3
378,Ambedkar Nagar,2 BHK,1367.0,2.0,86.0,2
379,Ambedkar Nagar,4 Bedroom,3565.0,4.0,255.0,4
380,Ambedkar Nagar,2 BHK,1409.0,2.0,95.0,2
381,Ambedkar Nagar,3 BHK,1950.0,4.0,120.0,3
382,Ambedkar Nagar,3 BHK,1921.0,4.0,129.0,3
383,Ambedkar Nagar,3 BHK,1920.0,4.0,121.0,3
384,Ambedkar Nagar,3 BHK,1935.0,4.0,125.0,3
385,Ambedkar Nagar,3 BHK,1852.0,4.0,122.0,3
386,Ambedkar Nagar,3 BHK,1950.0,4.0,120.0,3
387,Ambedkar Nagar,3 BHK,1852.0,3.0,125.0,3
388,Ambedkar Nagar,3 BHK,1850.0,4.0,121.0,3
389,Ambedkar Nagar,2 BHK,1425.0,2.0,94.0,2
390,Ambedkar Nagar,3 BHK,2395.0,4.0,150.0,3
391,Amruthahalli,2 BHK,900.0,2.0,40.0,2
392,Amruthahalli,2 BHK,1200.0,2.0,55.0,2
393,Amruthahalli,3 Bedroom,1900.0,3.0,135.0,3
394,Amruthahalli,2 BHK,924.0,2.0,45.0,2
395,Amruthahalli,2 BHK,900.0,2.0,60.0,2
396,Amruthahalli,2 BHK,1100.0,2.0,45.0,2
397,Amruthahalli,2 BHK,1200.0,2.0,55.0,2
401,Amruthahalli,3 BHK,1450.0,2.0,85.0,3
402,Amruthahalli,2 BHK,1200.0,2.0,55.0,2
403,Amruthahalli,2 BHK,1250.0,2.0,79.0,2
404,Amruthahalli,2 BHK,1190.0,2.0,50.0,2
405,Amruthahalli,2 BHK,1202.0,2.0,65.0,2
406,Amruthahalli,2 BHK,1340.0,2.0,75.0,2
407,Amruthahalli,3 BHK,2650.0,4.0,175.0,3
408,Amruthahalli,3 BHK,1450.0,2.0,90.0,3
409,Amruthahalli,2 BHK,1025.0,2.0,42.0,2
410,Amruthahalli,1 BHK,485.0,1.0,19.5,1
411,Anandapura,2 BHK,1167.0,2.0,43.76,2
412,Anandapura,2 Bedroom,1000.0,2.0,55.0,2
413,Anandapura,2 BHK,1141.0,2.0,42.79,2
415,Anandapura,2 Bedroom,1200.0,2.0,67.0,2
416,Anandapura,2 Bedroom,1200.0,2.0,58.0,2
417,Anandapura,2 BHK,1151.0,2.0,43.1,2
418,Anandapura,2 BHK,1141.0,2.0,42.75,2
419,Anandapura,2 Bedroom,900.0,2.0,48.0,2
420,Anandapura,4 Bedroom,1749.0,4.0,90.0,4
421,Anandapura,2 BHK,1151.0,2.0,42.9,2
423,Anandapura,2 BHK,1250.0,2.0,45.0,2
424,Anandapura,2 BHK,1151.0,2.0,43.16,2
425,Anandapura,2 Bedroom,1200.0,2.0,58.0,2
426,Anandapura,3 Bedroom,1200.0,2.0,66.0,3
427,Anandapura,3 Bedroom,1415.0,2.0,74.0,3
428,Anandapura,2 BHK,1200.0,2.0,50.0,2
429,Anandapura,2 BHK,1141.0,2.0,50.0,2
431,Ananth Nagar,1 BHK,500.0,1.0,14.0,1
432,Ananth Nagar,2 BHK,1100.0,2.0,31.5,2
433,Ananth Nagar,2 BHK,982.0,2.0,24.55,2
434,Ananth Nagar,1 BHK,500.0,2.0,14.0,1
435,Ananth Nagar,2 BHK,900.0,2.0,22.5,2
436,Ananth Nagar,2 BHK,908.0,2.0,26.0,2
437,Ananth Nagar,2 BHK,870.0,2.0,36.0,2
438,Ananth Nagar,2 BHK,937.0,2.0,35.0,2
439,Ananth Nagar,2 BHK,960.0,2.0,37.0,2
440,Ananth Nagar,1 BHK,500.0,1.0,14.0,1
441,Ananth Nagar,2 BHK,1000.0,2.0,29.7,2
442,Ananth Nagar,2 BHK,850.0,2.0,25.99,2
443,Ananth Nagar,2 BHK,902.0,2.0,25.26,2
444,Ananth Nagar,3 BHK,1470.0,3.0,54.0,3
445,Ananth Nagar,2 BHK,810.0,2.0,25.5,2
446,Ananth Nagar,2 BHK,890.0,2.0,27.0,2
447,Ananth Nagar,2 BHK,1200.0,2.0,36.0,2
449,Ananth Nagar,3 BHK,1319.0,3.0,42.0,3
450,Ananth Nagar,2 BHK,1000.0,2.0,25.0,2
451,Ananth Nagar,2 BHK,902.0,2.0,25.0,2
452,Ananth Nagar,2 BHK,930.0,2.0,25.99,2
453,Ananth Nagar,2 BHK,1074.0,2.0,26.85,2
454,Ananth Nagar,1 BHK,500.0,1.0,14.0,1
455,Ananth Nagar,2 BHK,1010.0,2.0,38.0,2
456,Ananth Nagar,2 BHK,992.0,2.0,24.8,2
458,Anekal,2 BHK,656.0,2.0,22.0,2
459,Anekal,2 BHK,620.0,2.0,22.0,2
460,Anekal,1 BHK,600.0,1.0,16.5,1
461,Anekal,2 BHK,925.0,2.0,40.0,2
462,Anekal,1 BHK,530.0,1.0,18.0,1
463,Anekal,3 Bedroom,1800.0,3.0,68.0,3
465,Anekal,1 RK,351.0,1.0,16.0,1
466,Anekal,2 BHK,1035.0,2.0,38.3,2
467,Anekal,2 BHK,888.0,2.0,34.0,2
471,Anekal,4 Bedroom,1200.0,2.0,36.0,4
472,Anekal,2 BHK,766.0,2.0,28.0,2
473,Anekal,3 BHK,967.0,2.0,45.0,3
474,Anekal,2 BHK,620.0,1.0,23.5,2
475,Anekal,3 BHK,1150.0,3.0,45.0,3
478,Anekal,1 BHK,400.0,1.0,11.5,1
479,Anekal,1 BHK,456.0,1.0,15.0,1
482,Anekal,3 Bedroom,2400.0,4.0,95.0,3
486,Anekal,1 BHK,420.0,1.0,12.5,1
